,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,source,target
0,22423,22960,0.19626998223801065,0.1261101243339254,0.04440497335701599,0.22624434389140272,1.7940220508571791,0.019653341493963132,1.129413231123991,REGENCY CAKESTAND 3 TIER,JAM MAKING SET WITH JARS
1,22960,22423,0.1261101243339254,0.19626998223801065,0.04440497335701599,0.352112676056338,1.7940220508571791,0.019653341493963132,1.24053981002394,JAM MAKING SET WITH JARS,REGENCY CAKESTAND 3 TIER
2,22961,22960,0.10479573712255773,0.1261101243339254,0.0541740674955595,0.5169491525423728,4.099188350441632,0.04095826405736838,1.809105356642049,JAM MAKING SET PRINTED,JAM MAKING SET WITH JARS
3,22960,22961,0.1261101243339254,0.10479573712255773,0.0541740674955595,0.4295774647887324,4.099188350441633,0.04095826405736838,1.569370436155516,JAM MAKING SET WITH JARS,JAM MAKING SET PRINTED
4,22961,22423,0.10479573712255773,0.19626998223801065,0.04085257548845471,0.3898305084745763,1.9861952603727282,0.02028431802479107,1.3172241957765938,JAM MAKING SET PRINTED,REGENCY CAKESTAND 3 TIER
5,22423,22961,0.19626998223801065,0.10479573712255773,0.04085257548845471,0.2081447963800905,1.986195260372728,0.02028431802479107,1.1305150976909415,REGENCY CAKESTAND 3 TIER,JAM MAKING SET PRINTED
6,22961,22720,0.10479573712255773,0.12433392539964476,0.04085257548845471,0.3898305084745763,3.135351089588378,0.027822910126857836,1.4351194000394714,JAM MAKING SET PRINTED,SET OF 3 CAKE TINS PANTRY DESIGN 
7,22720,22961,0.12433392539964476,0.10479573712255773,0.04085257548845471,0.32857142857142857,3.1353510895883776,0.027822910126857836,1.333282944711084,SET OF 3 CAKE TINS PANTRY DESIGN ,JAM MAKING SET PRINTED
8,22910,22086,0.06571936056838366,0.0763765541740675,0.04706927175843695,0.7162162162162162,9.377435575109994,0.04204985345570072,3.2546730948151907,PAPER CHAIN KIT VINTAGE CHRISTMAS,PAPER CHAIN KIT 50'S CHRISTMAS 
9,22086,22910,0.0763765541740675,0.06571936056838366,0.04706927175843695,0.6162790697674418,9.377435575109994,0.04204985345570072,2.4347919694278484,PAPER CHAIN KIT 50'S CHRISTMAS ,PAPER CHAIN KIT VINTAGE CHRISTMAS
10,22726,22727,0.07726465364120781,0.0941385435168739,0.0630550621669627,0.8160919540229886,8.669052266319671,0.055781480207843674,4.925621669627001,ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED 
11,22727,22726,0.0941385435168739,0.07726465364120781,0.0630550621669627,0.6698113207547169,8.669052266319671,0.055781480207843674,2.794569906115199,ALARM CLOCK BAKELIKE RED ,ALARM CLOCK BAKELIKE GREEN
12,22727,22730,0.0941385435168739,0.04884547069271759,0.04262877442273535,0.4528301886792453,9.27066895368782,0.03803053295432676,1.7383168983891713,ALARM CLOCK BAKELIKE RED ,ALARM CLOCK BAKELIKE IVORY
13,22730,22727,0.04884547069271759,0.0941385435168739,0.04262877442273535,0.8727272727272727,9.27066895368782,0.03803053295432676,7.117482872367417,ALARM CLOCK BAKELIKE IVORY,ALARM CLOCK BAKELIKE RED 
14,84991,21212,0.08703374777975133,0.11367673179396093,0.0497335701598579,0.5714285714285714,5.0267857142857135,0.039839858156475866,2.068087625814091,60 TEATIME FAIRY CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES
15,21212,84991,0.11367673179396093,0.08703374777975133,0.0497335701598579,0.43749999999999994,5.0267857142857135,0.039839858156475866,1.6230511150582199,PACK OF 72 RETROSPOT CAKE CASES,60 TEATIME FAIRY CAKE CASES
