,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,source,target
0,22726,22727,0.03636363636363636,0.042045454545454546,0.024337121212121213,0.6692708333333334,15.917792792792794,0.0228081955922865,2.8964924838940593,ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED 
1,22727,22726,0.042045454545454546,0.03636363636363636,0.024337121212121213,0.5788288288288288,15.917792792792794,0.0228081955922865,2.287992221682061,ALARM CLOCK BAKELIKE RED ,ALARM CLOCK BAKELIKE GREEN
2,22470,22469,0.05160984848484849,0.06287878787878788,0.026988636363636364,0.5229357798165137,8.316569028407207,0.023743471648301193,1.964350233100233,HEART OF WICKER LARGE,HEART OF WICKER SMALL
3,22469,22470,0.06287878787878788,0.05160984848484849,0.026988636363636364,0.4292168674698795,8.316569028407207,0.023743471648301193,1.6615595266650676,HEART OF WICKER SMALL,HEART OF WICKER LARGE
4,20725,22382,0.061079545454545456,0.0509469696969697,0.021212121212121213,0.34728682170542635,6.8166335264113425,0.018100303460743802,1.4540123623407473,LUNCH BAG RED RETROSPOT,LUNCH BAG SPACEBOY DESIGN 
5,22382,20725,0.0509469696969697,0.061079545454545456,0.021212121212121213,0.4163568773234201,6.8166335264113425,0.018100303460743802,1.608723581354951,LUNCH BAG SPACEBOY DESIGN ,LUNCH BAG RED RETROSPOT
6,22383,22382,0.053125,0.0509469696969697,0.02206439393939394,0.41532976827094475,8.152197682046797,0.019357836174242422,1.6232278963414635,LUNCH BAG SUKI DESIGN ,LUNCH BAG SPACEBOY DESIGN 
7,22382,22383,0.0509469696969697,0.053125,0.02206439393939394,0.43308550185873607,8.152197682046797,0.019357836174242422,1.6702254098360656,LUNCH BAG SPACEBOY DESIGN ,LUNCH BAG SUKI DESIGN 
8,20727,22382,0.05634469696969697,0.0509469696969697,0.020549242424242425,0.3647058823529412,7.15853925213208,0.017678650855142333,1.4938797699214368,LUNCH BAG  BLACK SKULL.,LUNCH BAG SPACEBOY DESIGN 
9,22382,20727,0.0509469696969697,0.05634469696969697,0.020549242424242425,0.4033457249070632,7.15853925213208,0.017678650855142333,1.581578046823374,LUNCH BAG SPACEBOY DESIGN ,LUNCH BAG  BLACK SKULL.
10,20728,22382,0.051704545454545454,0.0509469696969697,0.020549242424242425,0.39743589743589747,7.800972261938805,0.017915052513774104,1.57502417794971,LUNCH BAG CARS BLUE,LUNCH BAG SPACEBOY DESIGN 
11,22382,20728,0.0509469696969697,0.051704545454545454,0.020549242424242425,0.4033457249070632,7.8009722619388056,0.017915052513774104,1.5893549985839706,LUNCH BAG SPACEBOY DESIGN ,LUNCH BAG CARS BLUE
